Step,Strain (%),Flow Stress (GPa),Raw Stress (GPa)
0,0.0,0.22273625224215,0.22273625224215
100,0.1,0.0543454411773419,-0.0543454411773419
200,0.2,0.38113898667451,-0.38113898667451
300,0.3,0.773723167386035,-0.773723167386035
400,0.4,1.14560298763405,-1.14560298763405
500,0.5,1.51418858018386,-1.51418858018386
600,0.6,1.88182497920968,-1.88182497920968
700,0.7,2.24968788640686,-2.24968788640686
800,0.8,2.62012164149438,-2.62012164149438
900,0.9,3.00814366283426,-3.00814366283426
1000,1.0,3.42822577738629,-3.42822577738629
1100,1.1,3.84402874615018,-3.84402874615018
1200,1.2,4.25329011405554,-4.25329011405554
1300,1.3,4.62275757942957,-4.62275757942957
1400,1.4,4.98392175053344,-4.98392175053344
1500,1.5,5.30932079295098,-5.30932079295098
1600,1.6,5.59716317485654,-5.59716317485654
1700,1.7,5.82013889444947,-5.82013889444947
1800,1.8,6.02022004537373,-6.02022004537373
1900,1.9,6.18204551892999,-6.18204551892999
2000,2.0,6.36448121574868,-6.36448121574868
2100,2.1,6.54225941779965,-6.54225941779965
2200,2.2,6.74958685429658,-6.74958685429658
2300,2.3,6.92221360412028,-6.92221360412028
2400,2.4,7.06237857932249,-7.06237857932249
2500,2.5,7.17193751342729,-7.17193751342729
2600,2.6,7.24966355554614,-7.24966355554614
2700,2.7,7.31339827744453,-7.31339827744453
2800,2.8,7.36196206852013,-7.36196206852013
2900,2.9,7.37938258610656,-7.37938258610656
3000,3.0,7.35422595209378,-7.35422595209378
3100,3.1,7.27251443334447,-7.27251443334447
3200,3.2,7.16638275018585,-7.16638275018585
3300,3.3,7.05837809055583,-7.05837809055583
3400,3.4,6.92759671981472,-6.92759671981472
3500,3.5,6.78113607472963,-6.78113607472963
3600,3.6,6.60006176388713,-6.60006176388713
3700,3.7,6.40588272506999,-6.40588272506999
3800,3.8,6.20515366672637,-6.20515366672637
3900,3.9,5.97222507020702,-5.97222507020702
4000,4.0,5.65121900335952,-5.65121900335952
4100,4.1,5.31025099940127,-5.31025099940127
4200,4.2,5.06610080056867,-5.06610080056867
4300,4.3,4.89520320433659,-4.89520320433659
4400,4.4,4.74481514209846,-4.74481514209846
4500,4.5,4.58543559437064,-4.58543559437064
4600,4.6,4.43356058134875,-4.43356058134875
4700,4.7,4.28790516305462,-4.28790516305462
4800,4.8,4.15778803518577,-4.15778803518577
4900,4.9,4.02250134384822,-4.02250134384822
5000,5.0,3.88699698843282,-3.88699698843282
5100,5.1,3.7371976603867,-3.7371976603867
5200,5.2,3.57443101426868,-3.57443101426868
5300,5.3,3.39523533572223,-3.39523533572223
5400,5.4,3.21331162484521,-3.21331162484521
5500,5.5,3.03924852112298,-3.03924852112298
5600,5.6,2.87778111084666,-2.87778111084666
5700,5.7,2.71658922494878,-2.71658922494878
5800,5.8,2.57644229106952,-2.57644229106952
5900,5.9,2.43859374719767,-2.43859374719767
6000,6.0,2.29967344189614,-2.29967344189614
6100,6.1,2.16984428204788,-2.16984428204788
6200,6.2,2.03993590891192,-2.03993590891192
6300,6.3,1.94051404379366,-1.94051404379366
6400,6.4,1.83429668771086,-1.83429668771086
6500,6.5,1.74729764029312,-1.74729764029312
6600,6.6,1.68891717479859,-1.68891717479859
6700,6.7,1.62263024800667,-1.62263024800667
6800,6.8,1.56887093876183,-1.56887093876183
6900,6.9,1.51596706046776,-1.51596706046776
7000,7.0,1.4668907098416,-1.4668907098416
7100,7.1,1.42326758539328,-1.42326758539328
7200,7.2,1.39430681946794,-1.39430681946794
7300,7.3,1.37176668096264,-1.37176668096264
7400,7.4,1.34112029043138,-1.34112029043138
7500,7.5,1.31449568863973,-1.31449568863973
7600,7.6,1.2947623393654,-1.2947623393654
7700,7.7,1.28371569540452,-1.28371569540452
7800,7.8,1.24184611592758,-1.24184611592758
7900,7.9,1.20945443971645,-1.20945443971645
8000,8.0,1.17644240144674,-1.17644240144674
8100,8.1,1.13366419402018,-1.13366419402018
8200,8.2,1.08283797074242,-1.08283797074242
8300,8.3,1.03596664234353,-1.03596664234353
8400,8.4,0.977003142573899,-0.977003142573899
8500,8.5,0.918674530836643,-0.918674530836643
8600,8.6,0.859205617693932,-0.859205617693932
8700,8.7,0.797242448477226,-0.797242448477226
8800,8.8,0.73702486895956,-0.73702486895956
8900,8.9,0.671167922128154,-0.671167922128154
9000,9.0,0.617091149126817,-0.617091149126817
9100,9.1,0.568326995014064,-0.568326995014064
9200,9.2,0.526346408862241,-0.526346408862241
9300,9.3,0.490896149405619,-0.490896149405619
9400,9.4,0.465600295457115,-0.465600295457115
9500,9.5,0.432023170022929,-0.432023170022929
9600,9.6,0.417580288379586,-0.417580288379586
9700,9.7,0.404826404891992,-0.404826404891992
9800,9.8,0.396142748980234,-0.396142748980234
9900,9.9,0.394536697036955,-0.394536697036955
10000,10.0,0.39136122336929,-0.39136122336929
